Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.0098E-09,-4.4114E-09,0.029745,0,0,0,0.5,0.00018845,1.5277E-09,2.4138E-12,0.00018844,-4.3733E-12,0.00025107,0,0,0,0,0,0,package://robot_arm/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_arm/meshes/base_link.STL,,____2-1;____1-1,坐标系Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,0.00023661,0.012532,0.051872,0,0,0,0.05,7.0921E-05,-2.4743E-07,-3.3354E-07,5.755E-05,-2.2769E-05,5.9167E-05,0,0,0,0,0,0,package://robot_arm/meshes/Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://robot_arm/meshes/Link_1.STL,,____2______-1;____2__________-1;________1-3,坐标系1,基准轴1,joint_1,revolute,0,0,0.1002,0,0,0,base_link,0,0,1,10,1,-3.14,3.14,,,,,,,,
Link_2,-0.0001292,0.063369,0.0091447,0,0,0,0.1,0.00022646,-8.5878E-07,9.9427E-08,7.1644E-05,3.5311E-05,0.00021943,0,0,0,0,0,0,package://robot_arm/meshes/Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://robot_arm/meshes/Link_2.STL,,2-3________-1;________1-4;2-3____________-1,坐标系2,基准轴2,joint_2,revolute,0.00085238,0.060194,0.07,1.5708,0,3.1416,Link_1,-0.014159,0,0.9999,10,1,-3.14,3.14,,,,,,,,
Link_3,-0.0001292,0.063369,0.0091447,0,0,0,0.1,0.00022646,-8.5878E-07,9.9427E-08,7.1644E-05,3.5311E-05,0.00021943,0,0,0,0,0,0,package://robot_arm/meshes/Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://robot_arm/meshes/Link_3.STL,,2-3________-2;________1-6;2-3____________-2,坐标系3,基准轴3,joint_3,revolute,0.00071079,0.103,-0.050195,3.1416,0,3.1416,Link_2,-0.014159,0,0.9999,10,1,-3.14,3.14,,,,,,,,
Link_4,-0.00041835,0.011508,0.033364,0,0,0,0.05,2.9037E-05,8.2044E-08,-3.9873E-08,2.9661E-05,-7.1824E-06,3.1938E-05,0,0,0,0,0,0,package://robot_arm/meshes/Link_4.STL,1,1,1,1,0,0,0,0,0,0,package://robot_arm/meshes/Link_4.STL,,5__________-1;________1-5;____2__________-2,坐标系4,基准轴4,joint_4,revolute,0.00071079,0.103,-0.050195,-3.1416,0,3.1416,Link_3,-0.014159,0,0.9999,10,1,-3.14,3.14,,,,,,,,
Link_5,-0.00011759,-0.0090492,0.038781,0,0,0,0.06,4.2534E-05,-1.5112E-07,-1.5855E-07,3.2347E-05,-6.4749E-06,5.2073E-05,0,0,0,0,0,0,package://robot_arm/meshes/Link_5.STL,1,1,1,1,0,0,0,0,0,0,package://robot_arm/meshes/Link_5.STL,,6______________-1;6__________-1;________1-2;____-0-2;____________-2,坐标系5,基准轴5,joint_5,revolute,-0.00056637,0.0502,0.039996,1.5708,0,-3.1416,Link_4,0,0,1,10,1,-3.14,3.14,,,,,,,,
Link_6,-0.00016098,-0.00014107,0.011838,0,0,0,0.02,3.8864E-06,-2.9659E-08,9.9832E-10,3.8456E-06,4.7763E-08,7.1396E-06,0,0,0,0,0,0,package://robot_arm/meshes/Link_6.STL,1,1,1,1,0,0,0,0,0,0,package://robot_arm/meshes/Link_6.STL,,____-2;________1-8,坐标系6,基准轴6,joint_6,revolute,0.0004984,0.035196,0.045,1.5708,-1.5708,0,Link_5,0,-0.014159,-0.9999,10,1,-3.14,3.14,,,,,,,,
